parent_asin,title,description,features,categories,retrieval_text
B079FLYB41,Black Panther,"After tragedy forces young Prince T'Challa to assume Wakanda's throne, he is faced with the ultimate test, putting the fate of his country and the entire world at risk. Pitted against his own family, the new king must rally his allies and release the full power of Black Panther to defeat his foes and embrace his future as an Avenger.",,Movies & TV Movies,"Black Panther. After tragedy forces young Prince T'Challa to assume Wakanda's throne, he is faced with the ultimate test, putting the fate of his country and the entire world at risk. Pitted against his own family, the new king must rally his allies and release the full power of Black Panther to defeat his foes and embrace his future as an Avenger.  Movies & TV Movies"
B071G974CD,,,,,.
B094WZGRB4,,,,,.
B000IONJI8,Airwolf: Season 2,"Product Description Get ready to take off for action and adventure as all 22 one-hour episodes of Airwolf Season Two soar on to a spectacular five-disc DVD set for the first time ever! Cruise the skies once again with Airwolf, the cutting-edge, high-tech surveillance and defense helicopter of the future, and Stringfellow Hawke (Jan-Michael Vincent), its reclusive renegade pilot, as they touch down on dangerous secret missions from Afghanistan to the jungles of Central America. From drug runners to dambreakers to demented businessmen, there's no one who can hide from the Airwolf team's high-tech gadgetry and fighting power. Co-starring Ernest Borgnine and Alex Cord, this suspenseful and daring Emmy-nominated series from TV producer Donald P. Bellisario (Magnum P.I., Quantum Leap) is sure to be a thrill-ride fans won't want to leave! Amazon.com Jan-Michael Vincent stars in Airwolf as Stringfellow Hawke, who, with trusty sidekick Dominic Santini (Ernest Borgnine), embarks on perilous missions for a top secret agency known as The Firm, which in turn allows him fairly free rein as he searches for his long lost brother. Vincent, then 40 years old, was still a year or two away from ruining his career with substance abuse problems, but his work here is hardly of Emmy-winning caliber; indeed, it's a lazy performance pretty much devoid of emotional resonance. Borgnine, on the other hand, is always reliable, but even the former Oscar winner (in 1955, for Marty ) can't overcome Airwolf 's procession of cardboard characters (especially the villains) and credulity-challenging scripts, which find our heroes traveling to a Laotian prison camp, battling nuclear terrorists in California, rescuing the president of a South American banana republic, investigating a religious cult, fending off jungle cats kept on a Texas hunting ranch, and saving a country singer from the nefarious machinations of her manager-husband, among other silliness. In fairness, creator-executive producer Donald Bellisario (who also brought us Magnum, P.I. , Quantum Leap , and JAG ) and his team make an effort to inject a human element; there's an episode in which Dominic is arrested for murdering his faithless wife, and a couple that find the guilt-ridden Hawke searching for his brother, Saint John (pronounced ""Sinjin""), who was presumed lost during the Vietnam War when Stringfellow left him in the jungle. What's more, considering its relatively ancient pedigree, technology-wise, the effects work isn't bad, and there are some cool moments when the Airwolf helicopter does what it does best (i.e., blow stuff up). It's unlikely that anyone will fondly look back at Airwolf as one of television's finest moments. That doesn't mean that this five-disc set containing all 22 episodes from the series' second season (1984-85) won't find an audience eager to re-live the adventures of a super high-tech helicopter and the renegade flyboy who pilots it (heck, even Knight Rider , featuring David Hasselhoff and his talking car, has its adherents). Nonetheless, low expectations are definitely in order for anyone who wasn't, say, ten years old when the show was on the air.But overall, the show lacks a strong vibe, a recognizable sense of style and pace to draw viewers in and make believers out of us. Not terrible, not terrific, Airwolf is just sort of there. --Sam Graham",,Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles,"Airwolf: Season 2. Product Description Get ready to take off for action and adventure as all 22 one-hour episodes of Airwolf Season Two soar on to a spectacular five-disc DVD set for the first time ever! Cruise the skies once again with Airwolf, the cutting-edge, high-tech surveillance and defense helicopter of the future, and Stringfellow Hawke (Jan-Michael Vincent), its reclusive renegade pilot, as they touch down on dangerous secret missions from Afghanistan to the jungles of Central America. From drug runners to dambreakers to demented businessmen, there's no one who can hide from the Airwolf team's high-tech gadgetry and fighting power. Co-starring Ernest Borgnine and Alex Cord, this suspenseful and daring Emmy-nominated series from TV producer Donald P. Bellisario (Magnum P.I., Quantum Leap) is sure to be a thrill-ride fans won't want to leave! Amazon.com Jan-Michael Vincent stars in Airwolf as Stringfellow Hawke, who, with trusty sidekick Dominic Santini (Ernest Borgnine), embarks on perilous missions for a top secret agency known as The Firm, which in turn allows him fairly free rein as he searches for his long lost brother. Vincent, then 40 years old, was still a year or two away from ruining his career with substance abuse problems, but his work here is hardly of Emmy-winning caliber; indeed, it's a lazy performance pretty much devoid of emotional resonance. Borgnine, on the other hand, is always reliable, but even the former Oscar winner (in 1955, for Marty ) can't overcome Airwolf 's procession of cardboard characters (especially the villains) and credulity-challenging scripts, which find our heroes traveling to a Laotian prison camp, battling nuclear terrorists in California, rescuing the president of a South American banana republic, investigating a religious cult, fending off jungle cats kept on a Texas hunting ranch, and saving a country singer from the nefarious machinations of her manager-husband, among other silliness. In fairness, creator-executive producer Donald Bellisario (who also brought us Magnum, P.I. , Quantum Leap , and JAG ) and his team make an effort to inject a human element; there's an episode in which Dominic is arrested for murdering his faithless wife, and a couple that find the guilt-ridden Hawke searching for his brother, Saint John (pronounced ""Sinjin""), who was presumed lost during the Vietnam War when Stringfellow left him in the jungle. What's more, considering its relatively ancient pedigree, technology-wise, the effects work isn't bad, and there are some cool moments when the Airwolf helicopter does what it does best (i.e., blow stuff up). It's unlikely that anyone will fondly look back at Airwolf as one of television's finest moments. That doesn't mean that this five-disc set containing all 22 episodes from the series' second season (1984-85) won't find an audience eager to re-live the adventures of a super high-tech helicopter and the renegade flyboy who pilots it (heck, even Knight Rider , featuring David Hasselhoff and his talking car, has its adherents). Nonetheless, low expectations are definitely in order for anyone who wasn't, say, ten years old when the show was on the air.But overall, the show lacks a strong vibe, a recognizable sense of style and pace to draw viewers in and make believers out of us. Not terrible, not terrific, Airwolf is just sort of there. --Sam Graham  Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles"
B016JGYSRY,,,,,.
B00X9LNPHC,,,,,.
B087NBS416,,,,,.
B07FV6K8HF,,,,,.
B07FYBZL3N,"The X-Files Complete Series, Seasons 1-11 [DVD] [2018]","Embark on the ultimate search for the truth with Seasons 1-11 of the worldwide TV phenomenon known as THE X-FILES. Dive into all 218 episodes – spanning a quarter century – of mind-bending intrigue that stretches the boundaries of trust, faith and belief. Join FBI agents Fox Mulder (David Duchovny) and Dana Scully (Gillian Anderson) as they investigate unsolved cases that defy explanation, uncovering deadly conspiracies, alien encounters and other paranormal mysteries along the way. The truth may be out there, but the key to unlocking it is here in the definitive collection of THE X-FILES. Special Features Audio commentary on selected episodes Audio commentary on selected episodes Deleted scenes Deleted scenes Documentaries Documentaries Featurettes Featurettes Special effects sequences Special effects sequences Interviews with Chris Carter and cast Interviews with Chris Carter and cast Gag reels Gag reels",,Movies & TV Science Fiction & Fantasy Science Fiction Alien Invasion,"The X-Files Complete Series, Seasons 1-11 [DVD] [2018]. Embark on the ultimate search for the truth with Seasons 1-11 of the worldwide TV phenomenon known as THE X-FILES. Dive into all 218 episodes – spanning a quarter century – of mind-bending intrigue that stretches the boundaries of trust, faith and belief. Join FBI agents Fox Mulder (David Duchovny) and Dana Scully (Gillian Anderson) as they investigate unsolved cases that defy explanation, uncovering deadly conspiracies, alien encounters and other paranormal mysteries along the way. The truth may be out there, but the key to unlocking it is here in the definitive collection of THE X-FILES. Special Features Audio commentary on selected episodes Audio commentary on selected episodes Deleted scenes Deleted scenes Documentaries Documentaries Featurettes Featurettes Special effects sequences Special effects sequences Interviews with Chris Carter and cast Interviews with Chris Carter and cast Gag reels Gag reels  Movies & TV Science Fiction & Fantasy Science Fiction Alien Invasion"
B00AMSS3TU,Tom Hanks Double Feature (The Green Mile / Forrest Gump) [Blu-ray],The Green Mile / Forrest Gump (DBFE) ]]>,,Movies & TV Blu-ray Movies,Tom Hanks Double Feature (The Green Mile / Forrest Gump) [Blu-ray]. The Green Mile / Forrest Gump (DBFE) ]]>  Movies & TV Blu-ray Movies
B000SMNL92,Birds of Prey: The Complete Series,"Birds of Prey: The Complete Series (DVD) From the creators of Smallville, the Batman myth takes an unexpected Scott - Jericho, Dark Angel), or the Huntress, the secret offspring of Batman and Catwoman; and Dinah (Rachel Skarsten - Virginia's Run), an innocent teen with developing metahuman powers. turn in this action-adventure series about a trio of beautiful and relentless heroines determined to carry on Batman's fight for justice against the ruthless criminals of New Gotham City. Years have passed since Batman commanded the streets of New Gotham, leaving the high-tech crimefighting to the stunning Birds of Prey: Barbara Gordon (Dina Meyer - Saw films, Starship Troopers), formerly known as Batgirl and the daughter of Commissioner Gordon; Helena (Ashley ]]>",,Movies & TV Studio Specials Warner Home Video All Titles,"Birds of Prey: The Complete Series. Birds of Prey: The Complete Series (DVD) From the creators of Smallville, the Batman myth takes an unexpected Scott - Jericho, Dark Angel), or the Huntress, the secret offspring of Batman and Catwoman; and Dinah (Rachel Skarsten - Virginia's Run), an innocent teen with developing metahuman powers. turn in this action-adventure series about a trio of beautiful and relentless heroines determined to carry on Batman's fight for justice against the ruthless criminals of New Gotham City. Years have passed since Batman commanded the streets of New Gotham, leaving the high-tech crimefighting to the stunning Birds of Prey: Barbara Gordon (Dina Meyer - Saw films, Starship Troopers), formerly known as Batgirl and the daughter of Commissioner Gordon; Helena (Ashley ]]>  Movies & TV Studio Specials Warner Home Video All Titles"
B005V2ZFH0,,,,,.
B0024FAD7Y,Knight Rider - Season One [DVD],"Product Description An iconic TV classic is back and better than ever in the reinvented, updated, and super-charged Knight Rider Season One. From executive producers Doug Liman (The Bourne Identity franchise), David Bartis (The O.C.) and Glen Larson (Battlestar Galactica) comes this action-packed series about the coolest car ever created, K.I.T.T. (Knight Industries Three Thousand), that’s equipped with artificial intelligence capable of hacking into any computer, the weapons system of a jet fighter, and incredible custom body technology that allows it to transform into other vehicles. Relive every Season One episode as an elite team of crime-fighters work with K.I.T.T. to track down elusive, high-tech villains. Presented in uninterrupted Dolby Digital 5.1 Surround Sound, you won’t want to miss this fast-paced ride to the wild side! Amazon.com The '80s television phenomenon Knight Rider , in which David Hasselhoff and his hair teamed up with an erudite wonder car named KITT to fight crime, has undergone a variety of stalled attempts at a revival over the years, with a number of TV movies and short-lived syndicated series that failed to capture the original's wisecracking and smooth-riding formula. Most successful, however, was 2008's big-budget (and nicely self-aware) revamp, in which the son of the original Michael Knight takes the driver's seat of KITT's latest incarnation, this time a nanotech-sporting Shelby Mustang (voiced by Val Kilmer) with all sorts of new whiz-bang junk in the trunk. Despite an onscreen benediction from the Hoff himself, the two-hour pilot movie admittedly clunks a bit, with a few too many cross-country trips and a lack of any real hissable villains. Things improve considerably once the regular series begins, however, as Man and Car face off against the likes of terrorist surfers, nitro-burning street racers, and many other evildoers equipped with a plethora of expendable, easily explodable vehicles. Formulaically enjoyable as these early bikini-intensive episodes often are, though, things really pick up mid-season, with a genuinely tense three-part story arc that ups the dramatic ante, makes some surprising alterations to the cast roster, and, most importantly, reintroduces KITT's ticked-off cyborg nemesis KARR. The lack of a second season brought an end to this late-blooming creative surge, unfortunately, but, overall, this remains a breezily escapist, slickly helmed revamp that manages to do its daddy proud. Any series that features both KITT morphing into a truck and comes up with a scientific reason for its human leads to strip down to their underwear within the first 10 minutes of its first episode is a show with a firm understanding of exactly what it is. Special features include cast and crew commentary on the pilot, a rather overproduced gag reel, and several featurettes about the original series that should keep gearheads briefly riveted. --Andrew Wright",,Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles,"Knight Rider - Season One [DVD]. Product Description An iconic TV classic is back and better than ever in the reinvented, updated, and super-charged Knight Rider Season One. From executive producers Doug Liman (The Bourne Identity franchise), David Bartis (The O.C.) and Glen Larson (Battlestar Galactica) comes this action-packed series about the coolest car ever created, K.I.T.T. (Knight Industries Three Thousand), that’s equipped with artificial intelligence capable of hacking into any computer, the weapons system of a jet fighter, and incredible custom body technology that allows it to transform into other vehicles. Relive every Season One episode as an elite team of crime-fighters work with K.I.T.T. to track down elusive, high-tech villains. Presented in uninterrupted Dolby Digital 5.1 Surround Sound, you won’t want to miss this fast-paced ride to the wild side! Amazon.com The '80s television phenomenon Knight Rider , in which David Hasselhoff and his hair teamed up with an erudite wonder car named KITT to fight crime, has undergone a variety of stalled attempts at a revival over the years, with a number of TV movies and short-lived syndicated series that failed to capture the original's wisecracking and smooth-riding formula. Most successful, however, was 2008's big-budget (and nicely self-aware) revamp, in which the son of the original Michael Knight takes the driver's seat of KITT's latest incarnation, this time a nanotech-sporting Shelby Mustang (voiced by Val Kilmer) with all sorts of new whiz-bang junk in the trunk. Despite an onscreen benediction from the Hoff himself, the two-hour pilot movie admittedly clunks a bit, with a few too many cross-country trips and a lack of any real hissable villains. Things improve considerably once the regular series begins, however, as Man and Car face off against the likes of terrorist surfers, nitro-burning street racers, and many other evildoers equipped with a plethora of expendable, easily explodable vehicles. Formulaically enjoyable as these early bikini-intensive episodes often are, though, things really pick up mid-season, with a genuinely tense three-part story arc that ups the dramatic ante, makes some surprising alterations to the cast roster, and, most importantly, reintroduces KITT's ticked-off cyborg nemesis KARR. The lack of a second season brought an end to this late-blooming creative surge, unfortunately, but, overall, this remains a breezily escapist, slickly helmed revamp that manages to do its daddy proud. Any series that features both KITT morphing into a truck and comes up with a scientific reason for its human leads to strip down to their underwear within the first 10 minutes of its first episode is a show with a firm understanding of exactly what it is. Special features include cast and crew commentary on the pilot, a rather overproduced gag reel, and several featurettes about the original series that should keep gearheads briefly riveted. --Andrew Wright  Movies & TV Studio Specials Universal Studios Home Entertainment All Universal Studios Titles"
B0085F78I4,,,,,.
B01GEW31YY,Roots [Blu-ray + Digital HD],"The classic American saga is reimagined for a whole new generation. This epic 4-part miniseries tells the story of Kunta Kinte, a West African youth sold into slavery. This time, we follow Kunta and his family through the generations, up to the Civil War.",,Movies & TV Blu-ray Movies,"Roots [Blu-ray + Digital HD]. The classic American saga is reimagined for a whole new generation. This epic 4-part miniseries tells the story of Kunta Kinte, a West African youth sold into slavery. This time, we follow Kunta and his family through the generations, up to the Civil War.  Movies & TV Blu-ray Movies"
B000S76O2I,Burst Angel - Death's Angel v.1 [DVD],"Catch all the action....at a great new price! A new law has been passed in Tokyo. Ordinary folks are now allowed to freely carry firearms; shoot, they're even legally allowed to use 'em. You might think that crime would increase, and you'd be right. But the arrest rate's gone down. After all, the only prison a dead man needs is a hole in the ground. All thanks to RAPT, the Recent Armed Police of Tokyo is stealing away jurisdiction from the local authorities quicker than a bullet leaves a barrel. What that means is that folks are getting desperate. And desperate people with itchy fingers mean more bodies in the streets. Now, I m not sure if she came from up above or somewhere way down below, but an angel's just come to Earth. She's an enigma, but with her partners Sei, Amy, and Meg, she's the best chance this towns got. Her name is Jo. And there s a new sheriff in town.",,Movies & TV Science Fiction & Fantasy Science Fiction Animation,"Burst Angel - Death's Angel v.1 [DVD]. Catch all the action....at a great new price! A new law has been passed in Tokyo. Ordinary folks are now allowed to freely carry firearms; shoot, they're even legally allowed to use 'em. You might think that crime would increase, and you'd be right. But the arrest rate's gone down. After all, the only prison a dead man needs is a hole in the ground. All thanks to RAPT, the Recent Armed Police of Tokyo is stealing away jurisdiction from the local authorities quicker than a bullet leaves a barrel. What that means is that folks are getting desperate. And desperate people with itchy fingers mean more bodies in the streets. Now, I m not sure if she came from up above or somewhere way down below, but an angel's just come to Earth. She's an enigma, but with her partners Sei, Amy, and Meg, she's the best chance this towns got. Her name is Jo. And there s a new sheriff in town.  Movies & TV Science Fiction & Fantasy Science Fiction Animation"
B007N320G4,Smokey and the Bandit [Blu-ray],Get ready to tear up the highway with the Bandit (Burt Reynolds) a fun-loving fast-talking trucker who takes on his craziest haul yet - delivering 400 cases of beer from Texarkana to Atlanta in just 28 hours. With Sheriff Buford T. Justice (Jackie Gleason) hot on his trail and eager to teach him some respect for the law the Bandit joins forces with good ol' boy Cledus (Jerry Reed) and runaway bride Carrie (Sally Field). Gear up for huge laughs pedal-to-the-metal action and some of the wildest car crashes ever,,Movies & TV Blu-ray Movies,Smokey and the Bandit [Blu-ray]. Get ready to tear up the highway with the Bandit (Burt Reynolds) a fun-loving fast-talking trucker who takes on his craziest haul yet - delivering 400 cases of beer from Texarkana to Atlanta in just 28 hours. With Sheriff Buford T. Justice (Jackie Gleason) hot on his trail and eager to teach him some respect for the law the Bandit joins forces with good ol' boy Cledus (Jerry Reed) and runaway bride Carrie (Sally Field). Gear up for huge laughs pedal-to-the-metal action and some of the wildest car crashes ever  Movies & TV Blu-ray Movies
B0002V7TYW,X-Men: Evolution - Mystique's Revenge,"Cyclops, Rogue, Jean Grey and the rest of the X-Men star in these final five episodes from the second season of the hit animated series. Wanda, a mutant with formidable powers and a score to settle with Magneto joins the Brotherhood. The Brotherhood joins the X-Men to battle Magneto and Magneto orchestrates the ultimate mutant showdown to unveil mutant supremacy to the world. But first they will all have to face the Sentinel! With growing powers come new responsibilities that force the X-Men into larger roles within the team. With their friends depending on them, the pressure's really on! Now is the time for all to prove themselves. Includes the following episodes: Shadow Dance, Retreat, The HeX Factor, Day of Reckoning Part I and Day of Reckoning Part 2.",,Movies & TV Studio Specials Warner Home Video All Titles,"X-Men: Evolution - Mystique's Revenge. Cyclops, Rogue, Jean Grey and the rest of the X-Men star in these final five episodes from the second season of the hit animated series. Wanda, a mutant with formidable powers and a score to settle with Magneto joins the Brotherhood. The Brotherhood joins the X-Men to battle Magneto and Magneto orchestrates the ultimate mutant showdown to unveil mutant supremacy to the world. But first they will all have to face the Sentinel! With growing powers come new responsibilities that force the X-Men into larger roles within the team. With their friends depending on them, the pressure's really on! Now is the time for all to prove themselves. Includes the following episodes: Shadow Dance, Retreat, The HeX Factor, Day of Reckoning Part I and Day of Reckoning Part 2.  Movies & TV Studio Specials Warner Home Video All Titles"
B07HFL11VJ,,,,,.
B00I3MOU4Y,,,,,.
B01MRK7FWF,,,,,.
B08RVT4CK4,,,,,.
B01IV07S3W,Ice Age: Collision Course,"When sabre-toothed squirrel Scrat blasts off into outer space on an alien ship, he winds up accidentally sending a massive asteroid hurtling towards Earth. Now, Manny, Sid, Diego, and the rest of the Herd set out on their most important journey ever as they desperately try to find a way to help one-eyed, dinosaur-hunting weasel Buck divert the giant space rock and save the world. The fifth installment in the computer-animated series features the voices of Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg. 94 min. Widescreen; Soundtracks: English Dolby Digital 5.1, Spanish Dolby Digital Surround stereo, French Dolby Digital Surround stereo; Subtitles: English (SDH), Spanish, French; featurettes; sing-along songs; more. Two-disc set.",,Movies & TV Blu-ray Movies,"Ice Age: Collision Course. When sabre-toothed squirrel Scrat blasts off into outer space on an alien ship, he winds up accidentally sending a massive asteroid hurtling towards Earth. Now, Manny, Sid, Diego, and the rest of the Herd set out on their most important journey ever as they desperately try to find a way to help one-eyed, dinosaur-hunting weasel Buck divert the giant space rock and save the world. The fifth installment in the computer-animated series features the voices of Ray Romano, John Leguizamo, Denis Leary, Queen Latifah, Simon Pegg. 94 min. Widescreen; Soundtracks: English Dolby Digital 5.1, Spanish Dolby Digital Surround stereo, French Dolby Digital Surround stereo; Subtitles: English (SDH), Spanish, French; featurettes; sing-along songs; more. Two-disc set.  Movies & TV Blu-ray Movies"
B07R9678F7,,,,,.
B011I2SXNO,,,,,.
B009NI9H6S,,,,,.
B07D22QPCY,,,,,.
B00AEFXQS4,Days Of Thunder [Blu-ray],"Days Of Thunder (BD) ...comes on like thunder! It's a winner! - Joel Siegel, WABC-TV/New York ""****Best movie of the summer!"" - Steve Kmetko, KCBS-TV/Los Angeles Fr om the engine roar and fever pitch of professional stock car racing, Day s of Thunder explodes with the most spectacular r acing action ever capt ured on film. Tom Cruise plays race driver Cole Trickle, whose talent an d ambition are surpassed only by his b urning need to win. Discovered by businessman Tim Daland (Randy Quaid), Cole is teamed with legendary cre w chief and car-builder Har ry Hogge (Academy Award. winner Robert Duval l) to race for the Winston Cup at the Daytona 500. A fiery crash nearly ends Cole's care er and he must turn to a beautiful doctor (Nicole Kidma n) to regain his nerve and the true courage needed to race, to win and t o liv e. ]]>",,Movies & TV Blu-ray Movies,"Days Of Thunder [Blu-ray]. Days Of Thunder (BD) ...comes on like thunder! It's a winner! - Joel Siegel, WABC-TV/New York ""****Best movie of the summer!"" - Steve Kmetko, KCBS-TV/Los Angeles Fr om the engine roar and fever pitch of professional stock car racing, Day s of Thunder explodes with the most spectacular r acing action ever capt ured on film. Tom Cruise plays race driver Cole Trickle, whose talent an d ambition are surpassed only by his b urning need to win. Discovered by businessman Tim Daland (Randy Quaid), Cole is teamed with legendary cre w chief and car-builder Har ry Hogge (Academy Award. winner Robert Duval l) to race for the Winston Cup at the Daytona 500. A fiery crash nearly ends Cole's care er and he must turn to a beautiful doctor (Nicole Kidma n) to regain his nerve and the true courage needed to race, to win and t o liv e. ]]>  Movies & TV Blu-ray Movies"
B088GLWX9S,,,,,.
B07ZS3C4BP,,,,,.
B003VJTGM0,CSI: Crime Scene Investigation - Seasons 1-10,"CSI: Crime Scene Investigation is a fast-paced drama about a passionate team of forensic investigators trained to solve crimes the old-fashioned way – by examining the evidence. CSI: Crime Scene Investigation is on the case 24-7, scouring the scene, collecting irrefutable evidence and finding the missing pieces that will solve the mystery.",,Movies & TV Paramount Home Entertainment Drama,"CSI: Crime Scene Investigation - Seasons 1-10. CSI: Crime Scene Investigation is a fast-paced drama about a passionate team of forensic investigators trained to solve crimes the old-fashioned way – by examining the evidence. CSI: Crime Scene Investigation is on the case 24-7, scouring the scene, collecting irrefutable evidence and finding the missing pieces that will solve the mystery.  Movies & TV Paramount Home Entertainment Drama"
B009VB9BZY,,,,,.
B08X6JFYT9,,,,,.
B01BZ4DOGQ,Risen [Blu-ray],"RISEN is the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius (Joseph Fiennes), a powerful Roman military tribune, and his aide, Lucius (Tom Felton), are tasked with solving the mystery of what happened to Jesus (Cliff Curtis) in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.",,Movies & TV Blu-ray Movies,"Risen [Blu-ray]. RISEN is the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius (Joseph Fiennes), a powerful Roman military tribune, and his aide, Lucius (Tom Felton), are tasked with solving the mystery of what happened to Jesus (Cliff Curtis) in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.  Movies & TV Blu-ray Movies"
B07C76DPSP,,,,,.
B08JG63WP8,,,,,.
